yeshuv_sn,yeshuv_name_hebrew
967,"אבו ג'ווייעד (שבט)"
472,"אבו גוש"
473,"אבו סנאן"
958,"אבו עבדון (שבט)"
968,"אבו קורינאת (שבט)"
1342,"אבו קורינאת (יישוב)"
966,"אבו רובייעה (שבט)"
961,"אבו רוקייק (שבט)"
1375,"אבו תלול"
652,אבטין
1275,אבטליון
679,אביאל
1115,אביבים
819,אביגדור
175,אביחיל
2052,אביטל
1070,אביעזר
1220,אבירים
182,"אבן יהודה"
1081,"אבן מנחם"
783,"אבן ספיר"
400,"אבן שמואל"
4011,"אבני איתן"
3793,"אבני חפץ"
1311,אבשלום
3759,אדורה
113,אדירים
1068,אדמית
1123,אדרת
446,אודים
4010,אודם
1046,אוהד
2710,"אום אל-פחם"
2024,"אום אל-קוטוף"
1358,"אום בטין"
1108,אומן
680,אומץ
31,אופקים
1294,"אור הגנוז"
67,"אור הנר"
2400,"אור יהודה"
1020,"אור עקיבא"
780,אורה
2012,אורות
4013,אורטל
403,אורים
3760,אורנית
278,אושה
565,אזור
1157,אחווה
821,אחוזם
1330,"אחוזת ברק"
785,אחיהוד
850,אחיטוב
804,אחיסמך
797,אחיעזר
965,"אטרש (שבט)"
338,איבים
716,אייל
77,"איילת השחר"
294,אילון
1126,אילות
49,אילנייה
2600,אילת
1336,אירוס
3762,איתמר
37,איתן
478,אכסאל
1359,"אל סייד"
1316,"אל -עריאן"
4003,"אל -רום"
1145,אלומה
330,אלומות
1182,"אלון הגליל"
3579,"אלון מורה"
3604,"אלון שבות"
429,"אלוני אבא"
4017,"אלוני הבשן"
868,"אלוני יצחק"
285,אלונים
4002,אלי-עד
1365,אליאב
41,אליכין
1248,אליפז
730,אליפלט
682,אליקים
204,אלישיב
841,אלישמע
1125,אלמגור
3556,אלמוג
1309,אלעד
3618,אלעזר
3750,"אלפי מנשה"
603,אלקוש
3560,אלקנה
772,אמונים
1064,אמירים
1253,אמנון
23,אמציה
4012,אניעם
960,"אסד (שבט)"
3754,אספר
529,אעבלין
963,"אעצם (שבט)"
4301,אפיק
176,אפיקים
313,אפק
3650,אפרת
701,ארבל
3598,ארגמן
714,ארז
3570,אריאל
1324,ארסוף
71,אשבול
70,אשדוד
199,"אשדות יעקב (איחוד)"
188,"אשדות יעקב (מאוחד)"
1188,אשחר
3722,אשכולות
2021,"אשל הנשיא"
1152,אשלים
7100,אשקלון
1256,אשרת
740,אשתאול
6000,"באקה אל-גרביה"
21,"באר אורה"
1376,"באר גנים"
155,"באר טוביה"
2530,"באר יעקב"
9000,"באר שבע"
450,"בארות יצחק"
697,בארותיים
399,בארי
559,"בוסתן הגליל"
482,בועיינה-נוג'ידאת
4001,בוקעאתא
698,בורגתה
2043,בחן
762,בטחה
234,ביצרון
998,"ביר אל-מכסור"
1348,"ביר הדאג'"
368,בירייה
317,"בית אורן"
3574,"בית אל"
562,"בית אלעזרי"
95,"בית אלפא"
3652,"בית אריה"
480,"בית ג'ן"
619,"בית גוברין"
571,"בית גמליאל"
466,"בית דגן"
723,"בית הגדי"
373,"בית הלוי"
322,"בית הלל"
572,"בית העמק"
3645,"בית הערבה"
242,"בית השיטה"
353,"בית זיד"
710,"בית זית"
143,"בית זרע"
3575,"בית חורון"
877,"בית חירות"
2033,"בית חלקיה"
159,"בית חנן"
800,"בית חנניה"
1050,"בית חשמונאי"
288,"בית יהושע"
265,"בית יוסף"
200,"בית ינאי"
326,"בית יצחק-שער חפר"
430,"בית לחם הגלילית"
751,"בית מאיר"
784,"בית נחמיה"
16,"בית ניר"
672,"בית נקופה"
202,"בית עובד"
301,"בית עוזיאל"
756,"בית עזרא"
604,"בית עריף"
212,"בית צבי"
598,"בית קמה"
365,"בית קשת"
848,"בית רבן"
1162,"בית רימון"
9200,"בית שאן"
2610,"בית שמש"
248,"בית שערים"
747,"בית שקמה"
252,"ביתן אהרן"
3780,"ביתר עילית"
94,בלפוריה
760,"בן זכאי"
712,"בן עמי"
1084,"בן שמן (כפר נוער)"
2013,"בן שמן (מושב)"
6100,"בני ברק"
1368,"בני דקלים"
592,"בני דרום"
386,"בני דרור"
4015,"בני יהודה"
1363,"בני נצרים"
448,"בני עטרות"
1066,""בני עי""ש""
418,"בני ציון"
588,"בני ראם"
685,בניה
9800,"בנימינה-גבעת עדה*"
1326,""בסמ""ה""
944,"בסמת טבעון"
483,בענה
389,בצרה
589,בצת
864,בקוע
3612,בקעות
823,"בר גיורא"
1191,"בר יוחאי"
3744,ברוכין
428,"ברור חיל"
2060,ברוש
3710,ברכה
746,ברכיה
667,ברעם
141,ברק
617,ברקאי
3654,ברקן
2038,ברקת
1323,"בת הדר"
1361,"בת חן"
1319,"בת חפר"
6200,"בת ים"
3794,"בת עין"
33,"בת שלמה"
1292,ג'דיידה-מכר
485,ג'ולס
627,ג'לג'וליה
976,"ג'נאביב (שבט)"
541,"ג'סר א-זרקא"
487,"ג'ש (גוש חלב)"
628,ג'ת
872,"גאולי תימן"
379,גאולים
853,גאליה
352,גבולות
424,גבים
86,גבע
3763,"גבע בנימין"
683,"גבע כרמל"
2014,גבעולים
3644,"גבעון החדשה"
1344,"גבעות בר"
1293,"גבעת אבני"
1288,"גבעת אלה"
147,"גבעת ברנר"
870,"גבעת השלושה"
3730,"גבעת זאב"
207,""גבעת ח""ן""
2018,"גבעת חיים (איחוד)"
173,"גבעת חיים (מאוחד)"
4021,"גבעת יואב"
787,"גבעת יערים"
919,"גבעת ישעיהו"
802,""גבעת כ""ח""
360,""גבעת ניל""י""
703,"גבעת עוז"
681,"גבעת שמואל"
1077,"גבעת שפירא"
793,גבעתי
6300,גבעתיים
342,גברעם
133,גבת
35,גדות
145,גדיש
442,גדעונה
2550,גדרה
852,גונן
755,גורן
1219,"גורנות הגליל"
457,גזית
370,גזר
706,גיאה
196,גיבתון
1043,גיזו
1204,גילון
736,גילת
262,גינוסר
92,גיניגר
863,גינתון
1206,גיתה
3613,גיתית
393,גלאון
3606,גלגל
346,"גליל ים"
369,"גלעד (אבן יצחק)"
745,גמזו
1072,"גן הדרום"
225,"גן השומרון"
239,"גן חיים"
734,"גן יאשיה"
166,"גן יבנה"
1274,"גן נר"
311,"גן שורק"
144,"גן שלמה"
72,"גן שמואל"
836,גנות
549,"גנות הדר"
1103,"גני הדר"
1371,"גני טל"
862,"גני יוחנן"
3823,"גני מודיעין"
218,"גני עם"
229,"גני תקווה"
842,געש
463,געתון
39,גפן
1129,גרופית
4022,גשור
305,גשר
574,"גשר הזיו"
340,"גת (קיבוץ)"
128,"גת רימון"
494,"דאלית אל-כרמל"
146,דבורה
489,דבורייה
849,דבירה
407,דברת
62,"דגניה א'"
79,"דגניה ב'"
1067,""דוב""ב""
3747,דולב
738,דור
336,דורות
475,דחי
490,"דייר אל-אסד"
492,"דייר חנא"
2200,דימונה
2063,דישון
300,דלייה
431,דלתון
1317,דמיידה
303,דן
302,דפנה
1241,דקל
1349,דריג'את
702,האון
675,הבונים
356,הגושרים
191,"הדר עם"
9700,"הוד השרון"
726,הודייה
1169,"הוואשלה (שבט)"
956,"הוזייל (שבט)"
1186,הושעיה
250,הזורע
307,הזורעים
434,החותרים
684,היוגב
1208,הילה
377,המעפיל
677,הסוללים
423,העוגן
3769,"הר אדר"
3603,"הר גילה"
1261,"הר עמשא"
464,הראל
1249,הרדוף
6400,הרצלייה
1203,הררית
3639,"ורד יריחו"
1133,ורדון
815,זבדיאל
44,זוהר
584,זיקים
788,זיתן
9300,"זכרון יעקב"
799,זכריה
1290,זמר
1065,זמרת
816,זנוח
2064,זרועה
975,זרזיר
818,זרחיה
1321,ח'ואלד
235,"חבצלת השרון"
1110,חבר
3400,NULL
717,חגור
3764,חגי
205,חגלה
4026,חד-נס
618,חדיד
6500,חדרה
160,חולדה
6600,חולון
1239,חולית
253,חולתה
662,חוסן
1332,חוסנייה
115,חופית
374,חוקוק
1303,חורה
496,חורפיש
355,חורשים
1047,חזון
219,"חיבת ציון"
3643,חיננית
4000,חיפה
162,חירות
1272,חלוץ
820,חלץ
993,חמאם
801,חמד
343,חמדיה
3646,חמדת
3609,חמרה
807,חניאל
280,חניתה
1257,חנתון
4005,חספין
363,"חפץ חיים"
90,חפצי-בה
700,חצב
13,חצבה
2034,"חצור הגלילית"
406,חצור-אשדוד
397,חצרים
422,"חרב לאת"
1024,חרוצים
1247,חריש
3717,חרמש
1209,חרשים
3770,חשמונאים
6700,טבריה
962,טובא-זנגרייה
498,טורעאן
2730,טייבה
497,"טייבה (בעמק)"
2720,טירה
663,"טירת יהודה"
2100,"טירת כרמל"
268,"טירת צבי"
462,"טל שחר"
1181,טל-אל
1177,טללים
3788,טלמון
8900,טמרה
547,"טמרה (יזרעאל)"
3743,טנא
1214,טפחות
1295,יאנוח-ג'ת
1232,יבול
46,יבנאל
2660,יבנה
96,יגור
798,יגל
577,"יד בנימין"
1134,"יד השמונה"
758,"יד חנה"
358,"יד מרדכי"
775,"יד נתן"
64,""יד רמב""ם""
9400,יהוד
1158,יהל
2009,יובל
1226,יובלים
1112,יודפת
4007,יונתן
803,יושיביה
452,יזרעאל
409,יחיעם
866,יטבתה
3607,""ייט""ב""
811,יכיני
753,ינוב
2011,ינון
29,"יסוד המעלה"
440,יסודות
575,יסעור
1138,יעד
1044,יעף
795,יערה
499,יפיע
3566,יפית
134,יפעת
453,יפתח
3749,יצהר
759,יציץ
417,יקום
3647,יקיר
241,"יקנעם (מושבה)"
240,"יקנעם עילית"
623,יראון
2026,ירדנה
831,ירוחם
3000,ירושלים
718,ירחיב
502,ירכא
183,ירקונה
916,ישע
805,ישעי
828,ישרש
1227,יתד
504,כאבול
505,"כאוכב אבו אל-היג'א"
576,כברי
1338,כדיתה
3564,"כוכב השחר"
1224,"כוכב יאיר"
3779,"כוכב יעקב"
824,"כוכב מיכאל"
1252,כורזים
1210,כחל
1367,כחלה
840,כיסופים
1153,כישור
1183,כליל
1229,כלנית
1331,כמאנה
1291,כמהין
1201,כמון
4028,כנף
63,"כנרת (מושבה)"
57,"כנרת (קבוצה)"
1059,כסיפה
859,כסלון
1296,כסרא-סמיע
978,כעביה-טבאש-חג'אג'רה
857,"כפר אביב"
3638,"כפר אדומים"
364,"כפר אוריה"
690,"כפר אחים"
220,"כפר ביאליק"
177,""כפר ביל""ו""
357,"כפר בלום"
2010,"כפר בן נון"
633,"כפר ברא"
132,"כפר ברוך"
106,"כפר גדעון"
427,"כפר גלים"
310,"כפר גליקסון"
76,"כפר גלעדי"
707,"כפר דניאל"
3796,"כפר האורנים"
192,"כפר החורש"
254,"כפר המכבי"
582,"כפר הנגיד"
443,"כפר הנשיא"
187,"כפר הס"
217,""כפר הרא""ה""
888,""כפר הרי""ף""
190,"כפר ויתקין"
320,"כפר ורבורג"
1263,"כפר ורדים"
786,"כפר זיתים"
696,""כפר חב""ד""
609,"כפר חושן"
255,"כפר חיטים"
193,"כפר חיים"
1297,"כפר חנניה"
112,"כפר חסידים א'"
889,"כפר חסידים ב'"
4004,"כפר חרוב"
673,"כפר טרומן"
507,"כפר יאסיף"
233,"כפר ידידיה"
140,"כפר יהושע"
168,"כפר יונה"
85,"כפר יחזקאל"
170,"כפר יעבץ"
508,"כפר כמא"
509,"כפר כנא"
387,"כפר מונש"
1095,"כפר מימון"
98,""כפר מל""ל""
510,"כפר מנדא"
274,"כפר מנחם"
297,"כפר מסריק"
512,"כפר מצר"
764,"כפר מרדכי"
316,"כפר נטר"
345,"כפר סאלד"
6900,"כפר סבא"
107,"כפר סילבר"
249,"כפר סירקין"
845,"כפר עזה"
3488,"כפר עציון"
189,"כפר פינס"
634,"כפר קאסם"
388,"כפר קיש"
654,"כפר קרע"
579,"כפר ראש הנקרה"
1130,"כפר רוזנואלד (זרעית)"
295,"כפר רופין"
1166,"כפר רות"
605,"כפר שמאי"
743,"כפר שמואל"
267,"כפר שמריהו"
47,"כפר תבור"
3572,"כפר תפוח"
1285,כרכום
664,"כרם בן זמרה"
1094,"כרם יבנה (ישיבה)"
580,""כרם מהר""ל""
1085,"כרם שלום"
1264,"כרמי יוסף"
3766,"כרמי צור"
1374,"כרמי קטיף"
1139,כרמיאל
768,כרמייה
1198,כרמים
3656,כרמל
1207,לבון
585,לביא
1230,לבנים
2023,להב
380,"להבות הבשן"
715,"להבות חביבה"
1271,להבים
7000,לוד
52,לוזית
595,"לוחמי הגיטאות"
1171,לוטם
1255,לוטן
674,לימן
24,לכיש
1310,לפיד
1173,לפידות
1060,לקיה
2055,מאור
102,"מאיר שפיה"
771,"מבוא ביתר"
3569,"מבוא דותן"
3709,"מבוא חורון"
4204,"מבוא חמה"
1141,"מבוא מודיעים"
1080,מבועים
829,מבטחים
573,מבקיעים
1015,"מבשרת ציון"
516,"מג'ד אל-כרום"
4201,"מג'דל שמס"
481,מגאר
689,מגדים
65,מגדל
874,"מגדל העמק"
3561,"מגדל עוז"
3751,מגדלים
586,מגידו
375,מגל
695,מגן
1155,"מגן שאול"
722,מגשימים
2029,"מדרך עוז"
1140,"מדרשת בן גוריון"
3797,"מודיעין עילית"
1200,מודיעין-מכבים-רעות*
269,מולדת
208,"מוצא עילית"
635,מוקייבלה
1163,מורן
1178,מורשת
606,מזור
28,"מזכרת בתיה"
104,מזרע
517,מזרעה
3599,מחולה
1411,"מחנה הילה*"
1418,"מחנה טלי*"
1413,"מחנה יהודית*"
1416,"מחנה יוכבד*"
1415,"מחנה יפה*"
1414,"מחנה מרים*"
1412,"מחנה תל נוף*"
308,מחניים
776,מחסיה
43,מטולה
822,מטע
1128,"מי עמי"
2054,מיטב
649,מייסר
4019,מיצר
1282,מירב
607,מירון
731,מישר
1268,מיתר
3614,מכורה
1343,מכחול
382,מכמורת
1202,מכמנים
164,מלאה
2044,מלילות
596,מלכייה
2030,מנוחה
1174,מנוף
1205,מנות
48,מנחמיה
347,מנרה
994,"מנשית זבדה"
1258,מסד
263,מסדה
298,מסילות
742,"מסילת ציון"
748,מסלול
4203,מסעדה
939,"מסעודין אל-עזאזמה (שבט)"
197,מעברות
1082,מעגלים
678,מעגן
694,"מעגן מיכאל"
272,"מעוז חיים"
3657,מעון
570,מעונה
518,מעיליא
416,"מעיין ברוך"
290,"מעיין צבי"
3616,"מעלה אדומים"
3608,"מעלה אפרים"
1127,"מעלה גלבוע"
4008,"מעלה גמלא"
286,"מעלה החמישה"
3752,"מעלה לבונה"
3651,"מעלה מכמש"
1327,"מעלה עירון"
3653,"מעלה עמוס"
3637,"מעלה שומרון"
1063,מעלות-תרשיחא
344,מענית
230,מעש
668,מפלסים
3745,"מצדות יהודה"
325,מצובה
757,מצליח
58,מצפה
1222,""מצפה אבי""ב""
1370,"מצפה אילן"
3576,"מצפה יריחו"
1190,"מצפה נטופה"
99,"מצפה רמון"
3610,"מצפה שלם"
648,מצר
22,"מקווה ישראל"
843,מרגליות
4101,"מרום גולן"
1340,"מרחב עם"
97,"מרחביה (מושב)"
66,"מרחביה (קיבוץ)"
1098,"מרכז שפירא"
421,"משאבי שדה"
765,"משגב דב"
378,"משגב עם"
520,משהד
3605,משואה
620,"משואות יצחק"
3785,משכיות
670,"משמר איילון"
563,"משמר דוד"
732,"משמר הירדן"
395,"משמר הנגב"
130,"משמר העמק"
729,"משמר השבעה"
194,"משמר השרון"
213,משמרות
425,משמרת
791,משען
1315,מתן
1184,מתת
3648,מתתיהו
4551,"נאות גולן"
1124,"נאות הכיכר"
408,"נאות מרדכי"
1197,"נאות סמדר"
524,נאעורה
396,נבטים
315,נגבה
3724,נגוהות
309,נהורה
80,נהלל
9100,נהרייה
4304,נוב
55,נוגה
3573,"נוה צוף"
1366,נווה
590,"נווה אור"
4303,""נווה אטי""ב""
405,"נווה אילן"
296,"נווה איתן"
3725,"נווה דניאל"
1057,"נווה זוהר"
1314,"נווה זיו"
312,"נווה ים"
686,"נווה ימין"
858,"נווה ירק"
827,"נווה מבטח"
1071,"נווה מיכאל"
1259,"נווה שלום"
15,נועם
1333,"נוף איילון"
1061,"נצרת עילית"
3790,נופים
1284,נופית
257,נופך
3726,נוקדים
447,נורדייה
833,נורית
59,נחושה
844,"נחל עוז"
2045,נחלה
3767,נחליאל
449,נחלים
809,נחם
522,נחף
433,נחשולים
777,נחשון
705,נחשונים
1147,נטועה
4014,נטור
1369,נטע
174,נטעים
1254,נטף
523,ניין
3655,""ניל""י""
351,ניצן
1419,"ניצן ב'"
1195,"ניצנה (קהילת חינוך)"
1280,"ניצני סיני"
851,"ניצני עוז"
359,ניצנים
808,"ניר אליהו"
553,"ניר בנים"
720,"ניר גלים"
256,"ניר דוד (תל עמל)"
11,""ניר ח""ן""
165,"ניר יפה"
402,"ניר יצחק"
699,"ניר ישראל"
2047,"ניר משה"
69,"ניר עוז"
348,"ניר עם"
769,"ניר עציון"
2048,"ניר עקיבא"
331,"ניר צבי"
602,נירים
1236,נירית
825,"נס הרים"
1143,"נס עמים"
7200,"נס ציונה"
186,נעורים
3787,נעלה
3713,""נעמ""ה""
158,נען
1041,"נצאצרה (שבט)"
1372,"נצר חזני"
435,"נצר סרני"
7300,נצרת
2500,נשר
3555,"נתיב הגדוד"
693,""נתיב הל""ה""
1242,"נתיב העשרה"
792,"נתיב השיירה"
246,נתיבות
7400,נתניה
525,סאג'ור
578,סאסא
587,סביון*
2046,סגולה
942,"סואעד (חמרייה)*"
526,סולם
3756,סוסיה
1238,סופה
7500,סח'נין
1170,"סייד (שבט)"
1245,סלמה
3567,סלעית
1156,סמר
3777,סנסנה
419,סעד
1360,סעוה
454,סער
1176,ספיר
610,סתרייה
4501,ע'ג'ר
892,עבדון
376,עברון
794,עגור
1199,עדי
2035,עדנים
826,עוזה
528,עוזייר
737,עולש
666,עומר
810,עופר
3617,עפרה
32,עוצם
957,"עוקבי (בנו עוקבה) (שבט)"
1149,עזר
837,עזריאל
711,עזריה
817,עזריקם
969,"עטאוונה (שבט)"
3658,עטרת
1175,עידן
530,עיילבון
156,עיינות
511,עילוט
687,"עין איילה"
546,"עין אל-אסד"
273,"עין גב"
2042,"עין גדי"
436,"עין דור"
1240,"עין הבשור"
74,"עין הוד"
167,"עין החורש"
289,"עין המפרץ"
383,""עין הנצי""ב""
367,"עין העמק"
270,"עין השופט"
676,"עין השלושה"
157,"עין ורד"
4503,"עין זיוון"
1320,"עין חוד"
89,"עין חרוד (איחוד)"
82,"עין חרוד (מאוחד)"
806,"עין יהב"
813,"עין יעקב"
426,"עין כרמל"
532,"עין מאהל"
521,"עין נקובא"
223,"עין עירון"
622,"עין צורים"
4502,"עין קנייא"
514,"עין ראפה"
139,"עין שמר"
880,"עין שריד"
1251,"עין תמר"
871,עינת
7600,עכו
1146,עלומים
3765,עלי
3727,"עלי זהב"
688,עלמה
3715,עלמון
1212,עמוקה
3824,עמיחי
779,עמינדב
385,עמיעד
318,עמיעוז
773,עמיקם
319,עמיר
3660,עמנואל
708,עמקה
3712,ענב
534,עספיא
7700,עפולה
3778,"עץ אפרים"
917,"עצמון שגב"
531,עראבה
1246,עראמשה*
1335,"ערב אל נעים"
2560,ערד
593,ערוגות
637,ערערה
1192,ערערה-בנגב
591,עשרת
53,עתלית
3748,עתניאל
1151,פארן
3768,פדואל
750,פדויים
838,פדיה
1104,"פורייה - כפר עבודה"
1105,"פורייה - נווה עובד"
1313,"פורייה עילית"
537,פוריידיס
767,פורת
749,פטיש
597,פלמחים
3723,"פני חבר"
3659,פסגות
535,פסוטה
2059,""פעמי תש""ז""
3615,פצאל
536,"פקיעין (בוקייעה)"
281,"פקיעין חדשה"
7800,"פרדס חנה-כרכור"
171,פרדסייה
599,פרוד
2053,פרזון
1231,"פרי גן"
7900,"פתח תקווה"
839,פתחיה
413,צאלים
1180,צביה
1213,צבעון
465,צובה
1136,צוחר
3791,צופים
198,צופית
1150,צופר
1102,"צוקי ים"
1262,צוקים
